"Date (mm-dd-yyyy)","Name","Description"
"02-20-1991","День рождения Python","Задумка по реализации языка появилась в конце 1980-х годов, а разработка его реализации началась в 1989 году сотрудником голландского института CWI Гвидо ван Россумом"
"04-01-2010","День рождения Flask","Flask — фреймворк для создания веб-приложений на языке программирования Python. Создатель и основной автор — австрийский программист Армин Ронахер"
"04-04-1000","День веб-разработчика","4 апреля — «404» — отмечают свой профессиональный праздник веб-разработчики"
"04-07-1994","День рождения Рунета","7 апреля 1994 года для России был зарегистрирован домен — .Ru — и внесен в международную базу данных национальных доменов верхнего уровня"
"07-21-2005","День рождения Django","Джанго — свободный фреймворк для веб-приложений на языке Python. Авторы: американский веб-разработчик Адриан Головатый и британский программист Саймон Уиллисон"
"08-25-1991","День рождения Linux","Именно 25 августа 1991 года после нескольких месяцев разработки 21-летний студент Линус Торвальдс на конференции comp. os. minix заявил о создании рабочего прототипа новой ОС под названием Linux"
"09-13-1000","День программиста","Специалистам — высоких зарплат и успехов в работе, а новичкам — осилить Лутца и не терять модули! С праздником :)"
"09-27-1998","День рождения Google","Каждый год по случаю своего дня рождения Google презентует новый дудл — анимированный логотип, который заменяет привычный логотип Google на главной странице поиска"
"11-20-1985","День рождения Windows","20 ноября 1985 года на свет вышла Windows 1.0. Билл Гейтс во время анонса тогда сказал, что Windows — уникальное программное обеспечение для серьёзных пользователей"
"12-03-2008","День рождения Python 3","В Python 3000 (Python 3.0, Py3k) устранены многие недостатки архитектуры с максимально возможным (но не полным) сохранением совместимости со старыми версиями Python"
"12-05-2018","День рождения FastAPI","FastAPI — веб-фреймворк для создания API, написанный на Python. Один из самых быстрых и популярных (после Django и Flask) веб-фреймворков, написанных на Python"
